source,target,weight
726,1438,0.0012210006003869
730,5198,0.0040624174438028
735,1836,0.0027574877408041
739,5397,0.0048199129732557
745,5040,0.0093672854371714
748,3531,0.0313658652755411
751,5490,0.0031471234994658
752,2834,0.0010223434466765
753,4049,0.0030136539305196
764,3717,0.0075059401814281
766,5604,0.0048535830999104
777,4395,0.0025948347362561
779,4500,0.0058403387197103
781,5816,0.0140645417704284
789,6974,0.0116340635457877
789,4244,0.0091940576482782
793,1630,0.0057081667883704
795,895,0.0064358232416663
798,1914,0.0661003102822268
800,990,0.0015234666319771
801,2098,0.0073543135546005
802,6026,0.004873869880843
810,2642,0.0301613229056653
810,1649,0.0265595078629234
825,4553,0.0040367981988166
827,1947,0.0036827770773097
834,2883,0.0102536192642964
839,3101,0.006029342036533
839,5531,0.005051907281926
849,3155,0.0007092945431038
849,4007,0.0019647994423388
850,1498,0.0176315197735269
856,3026,0.0023718041945703
856,6653,0.0004553785771597
858,6531,0.0053400147691008
858,5697,0.0086648813103347
860,3047,0.0033828869293647
860,6560,0.0023266747052737
861,5039,0.006063040431072
876,4142,0.0335530418450742
879,6631,0.0357371639186499
880,4637,0.024980081084269
886,3275,0.0049464039379256
887,4110,0.001037877597469
890,6682,0.0481160128712649
892,1148,0.03444026034891
896,2537,0.0418663959061307
896,3202,0.0557946892179245
902,4565,0.0070106241424346
903,6102,0.0063752989496585
904,5233,0.009445950640608
915,3679,0.0022719469689141
921,5278,0.0075228485854978
925,4685,0.0283176751418793
936,3300,0.0060890678171642
939,2995,0.0020042653097487
941,1570,0.0094284634429367
943,2680,0.0080603549959719
949,4686,0.0197069997757817
953,2965,0.0066678024569235
956,3900,0.0116870089635685
961,1983,0.0020418982944799
968,1564,0.0088121183923168
974,6122,0.0047921495936005
981,3445,0.0139393983747034
987,4385,0.0212605694428703
993,5202,0.1483486326935934
999,1314,0.0004114017242943
1000,3287,0.007979054599572
1000,2698,0.0047188059511517
1002,5008,0.0061957503592103
1015,1413,0.0005100020205846
1019,4003,0.0105739514302498
1022,2523,0.024307682136797
1029,3209,0.0739441069061216
1032,2674,0.0041947276481724
1033,3119,0.0093281267696378
1035,1599,0.0039261312444122
1045,5674,0.0054779160065411
1049,6121,0.0010651649321666
1051,4548,0.0054049168691678
1056,3476,0.0028914777007955
1064,3059,0.0063254632865132
1069,1448,0.0057826594794946
1090,4052,0.0015088909876458
1104,5676,0.0043235962162552
1112,3666,0.0079776133734276
1113,4806,0.0043426454897089
1114,3239,0.0024252950416418
1117,4588,0.0007394139548679
1117,2770,0.0095974533799608
1118,3066,0.0087592845987553
1123,3235,0.0071086639049055
1138,1375,0.0113497658945996
1139,3991,0.0092985421924414
1144,6931,0.0152789468098115
1145,2351,0.0078530070359029
1146,6582,0.0162032488788917
1147,3131,0.0070621702766714
1156,3504,0.0176267915636927
1161,2408,0.0214477314152916
1165,4289,0.0086741512063873
1165,3133,0.0108318734647234
1169,2138,0.0074902973257513
1175,4960,0.0015275288421841
1180,6836,0.0104172781299845
1186,2323,0.018433817839474
1188,3125,0.0022603934113953
1191,6467,0.0079634238489746
1197,2566,0.0141564375877418
1202,1607,0.1402065710647669
1205,5415,0.0085180474915308
1208,1802,0.0053681235291774
1211,2255,0.0030533404757999
1215,6393,0.0147688297898064
1216,3376,0.0027478386131941
1220,3028,0.0064857278295724
1222,1545,0.0059815831567221
1222,3711,0.003596446630314
1228,4809,0.0079430056777797
1232,2795,0.0102175929721442
1240,5640,0.0049773249120804
1242,3393,0.0026636413405409
1248,4706,0.0029888445003902
1249,4916,0.0064133139528014
1250,5091,0.0234948506554384
1250,5011,0.0318291275388053
1252,3813,0.0047758350894028
1253,1766,0.0050019472960301
1254,6519,0.0038893743575327
